EmailID, UserID, MonthID, EmailOpened
"5c929b08c4470","49","3","0"
"5c929b08c4474","49","3","1"
"5c929b08c4479","49","3","1"
"5c929b08c447e","50","1","0"
"5c929b08c4489","50","3","1"
"5c929b08c448e","51","2","1"
"5c929b08c4493","51","2","1"
"5c929b08c4498","54","2","1"
"5c929b08c449d","54","3","0"
"5c929b08c44a2","55","2","0"
"5c929b08c44a7","56","3","0"
"5c929b08c44ac","56","3","0"
"5c929b08c44b1","57","3","1"
"5c929b08c44b6","57","3","1"
"5c929b08c44bb","58","1","0"
"5c929b08c44c2","58","1","0"
"5c929b08c44ca","58","1","0"
"5c929b08c44d0","58","2","1"
"5c929b08c44dc","59","3","1"
"5c929b08c44e2","59","1","0"
"5c929b08c44e9","59","1","0"
"5c929b08c44f0","59","1","1"
"5c929b08c44f7","60","3","1"
"5c929b08c44fc","61","2","1"
"5c929b08c4500","61","2","0"
"5c929b08c4505","61","2","0"
"5c929b08c450a","61","1","1"
"5c929b08c450f","62","1","1"
"5c929b08c4515","64","3","0"
"5c929b08c451a","65","2","0"
"5c929b08c451f","65","3","1"
"5c929b08c4527","66","2","0"
"5c929b08c452e","66","1","0"
"5c929b08c4534","66","3","1"
"5c929b08c453a","67","3","0"
"5c929b08c4542","67","2","1"
"5c929b08c454b","68","2","0"
"5c929b08c4550","68","1","0"
"5c929b08c4558","68","3","0"
"5c929b08c455f","68","2","0"
"5c929b08c4565","69","1","0"
"5c929b08c456a","69","2","1"
"5c929b08c4572","69","2","0"
"5c929b08c4584","69","2","0"
"5c929b08c458a","71","2","1"
"5c929b08c458e","71","1","0"
"5c929b08c4593","71","2","0"
"5c929b08c4598","72","2","0"
"5c929b08c459e","72","2","1"
"5c929b08c45a4","72","3","0"
"5c929b08c45ac","73","3","0"
"5c929b08c45b2","73","3","1"
"5c929b08c45b9","74","2","0"
"5c929b08c45bf","74","1","0"
"5c929b08c45c4","75","3","1"
"5c929b08c45c9","75","2","1"
"5c929b08c45d0","75","2","0"
"5c929b08c45d8","76","1","0"
"5c929b08c45df","78","2","1"
"5c929b08c45e7","78","1","0"
"5c929b08c45f0","78","2","0"
"5c929b08c45f9","79","3","1"
"5c929b08c4600","79","1","1"
"5c929b08c4606","79","3","0"
"5c929b08c460a","79","3","0"
"5c929b08c4615","80","1","1"
"5c929b08c461a","80","3","0"
"5c929b08c461f","80","3","1"
"5c929b08c4624","80","2","0"
"5c929b08c462d","81","3","0"
"5c929b08c4634","81","2","1"
"5c929b08c463b","82","1","0"
"5c929b08c4642","83","1","1"
"5c929b08c464a","84","2","1"
"5c929b08c4651","84","3","0"
"5c929b08c4656","84","1","0"
"5c929b08c465b","84","3","1"
"5c929b08c4663","86","2","0"
"5c929b08c466b","86","2","1"
"5c929b08c4673","87","1","0"
"5c929b08c467a","88","1","0"
"5c929b08c4680","88","1","1"
"5c929b08c4685","88","2","1"
"5c929b08c468b","88","3","0"
"5c929b08c4692","89","2","0"
"5c929b08c4699","89","1","0"
"5c929b08c469f","89","1","1"
"5c929b08c46a6","89","2","0"
"5c929b08c46ac","91","2","1"
"5c929b08c46bf","92","1","1"
"5c929b08c46c5","93","3","0"
"5c929b08c46ca","93","3","0"
"5c929b08c46d1","93","3","0"
"5c929b08c46d9","93","1","0"
"5c929b08c46e1","94","3","0"
"5c929b08c46ea","94","3","0"
"5c929b08c46f0","94","3","0"
"5c929b08c46f9","97","2","0"
"5c929b08c4700","97","1","0"
"5c929b08c4708","98","3","0"
"5c929b08c470e","101","1","0"
"5c929b08c4713","101","2","1"
"5c929b08c471f","101","1","0"
"5c929b08c472e","104","2","0"
"5c929b08c4735","105","2","0"
"5c929b08c473e","105","1","0"
"5c929b08c4744","105","1","1"
"5c929b08c474c","106","2","1"
"5c929b08c4754","106","1","1"
"5c929b08c475b","106","3","0"
"5c929b08c4761","106","1","0"
"5c929b08c4766","107","1","1"
"5c929b08c476c","107","1","0"
"5c929b08c4774","108","3","0"
"5c929b08c477a","108","3","1"
"5c929b08c4780","108","2","1"
"5c929b08c478d","108","1","1"
"5c929b08c4793","110","1","1"
"5c929b08c479a","111","2","1"
"5c929b08c47a2","111","2","0"
"5c929b08c47a9","111","2","1"
"5c929b08c47ae","111","2","1"
"5c929b08c47b4","112","2","1"
"5c929b08c47ba","113","1","1"
"5c929b08c47c1","113","3","0"
"5c929b08c47c8","113","2","1"
"5c929b08c47ce","115","3","1"
"5c929b08c47da","115","1","0"
"5c929b08c47e1","116","1","1"
"5c929b08c47e9","116","1","0"
"5c929b08c47f0","116","3","1"
"5c929b08c47f5","116","3","1"
"5c929b08c47fb","117","3","1"
"5c929b08c4800","117","2","1"
"5c929b08c4804","117","3","1"
"5c929b08c480a","118","2","1"
"5c929b08c4812","118","1","1"
"5c929b08c4819","118","3","0"
"5c929b08c481e","118","3","0"
"5c929b08c4824","119","1","1"
"5c929b08c4828","119","2","0"
"5c929b08c482d","119","3","1"
"5c929b08c4832","119","3","0"
"5c929b08c4838","120","1","1"
"5c929b08c483d","120","2","0"
"5c929b08c4844","122","2","0"
"5c929b08c484a","122","1","0"
"5c929b08c484f","122","3","0"
"5c929b08c4855","122","3","1"
"5c929b08c485c","123","2","1"
"5c929b08c4861","123","3","1"
"5c929b08c4867","124","1","1"
"5c929b08c486c","124","3","1"
"5c929b08c4871","125","1","1"
"5c929b08c4876","125","2","0"
"5c929b08c487b","126","2","1"
"5c929b08c4881","127","2","0"
"5c929b08c4886","128","2","0"
"5c929b08c488b","128","3","1"
"5c929b08c4891","129","3","0"
"5c929b08c4896","129","3","1"
"5c929b08c489c","130","2","1"
"5c929b08c48a2","130","1","0"
"5c929b08c48a8","131","1","0"
"5c929b08c48ad","131","3","1"
"5c929b08c48b2","131","2","1"
"5c929b08c48b8","131","1","1"
"5c929b08c48be","132","3","1"
"5c929b08c48c3","132","3","0"
"5c929b08c48c8","132","2","1"
"5c929b08c48cd","132","3","0"
"5c929b08c48d3","133","2","0"
"5c929b08c48d8","133","3","0"
"5c929b08c48dd","133","1","1"
"5c929b08c48e2","133","3","1"
"5c929b08c48e8","135","1","0"
"5c929b08c48ed","136","3","0"
"5c929b08c48f1","136","1","1"
"5c929b08c48f7","136","2","1"
"5c929b08c48fd","136","1","1"
"5c929b08c4905","137","3","0"
"5c929b08c492a","137","3","1"
"5c929b08c4932","137","2","0"
"5c929b08c4939","138","1","1"
"5c929b08c4940","138","3","1"
"5c929b08c4945","138","3","1"
"5c929b08c494b","139","1","1"
"5c929b08c494f","139","2","0"
"5c929b08c4958","139","3","0"
"5c929b08c495d","140","2","0"
"5c929b08c4962","140","2","1"
"5c929b08c4967","141","2","0"
"5c929b08c496d","141","2","0"
"5c929b08c4972","143","2","1"
"5c929b08c4977","143","1","0"
"5c929b08c497d","145","2","0"
"5c929b08c4982","145","1","1"
"5c929b08c4987","145","1","0"
"5c929b08c498c","145","2","1"
"5c929b08c4991","146","1","0"
"5c929b08c4997","146","3","0"
"5c929b08c499c","146","3","1"
"5c929b08c49a1","146","1","1"
"5c929b08c49a6","147","1","0"
"5c929b08c49ac","147","3","0"
"5c929b08c49b1","147","3","1"
"5c929b08c49b7","147","3","1"
"5c929b08c49bb","148","3","0"
"5c929b08c49ca","150","3","1"
"5c929b08c49d0","151","2","1"
"5c929b08c49d6","151","1","1"
"5c929b08c49db","151","3","1"
"5c929b08c49e0","151","2","1"
"5c929b08c49e5","152","2","0"
"5c929b08c49ee","152","3","1"
"5c929b08c49f2","152","3","1"
"5c929b08c49fb","153","3","1"
"5c929b08c4a00","153","3","0"
"5c929b08c4a0b","153","1","0"
"5c929b08c4a10","154","2","1"
"5c929b08c4a15","154","2","1"
"5c929b08c4a1a","154","2","1"
"5c929b08c4a25","155","2","0"
"5c929b08c4a2c","156","2","1"
"5c929b08c4a31","157","1","0"
"5c929b08c4a36","157","1","0"
"5c929b08c4a3a","157","3","0"
"5c929b08c4a3f","158","3","1"
"5c929b08c4a44","158","1","1"
"5c929b08c4a49","159","2","0"
"5c929b08c4a4e","159","1","1"
"5c929b08c4a58","159","3","1"
"5c929b08c4a5d","159","3","0"
"5c929b08c4a62","160","2","0"
"5c929b08c4a66","160","3","1"
"5c929b08c4a6b","160","2","1"
"5c929b08c4a71","162","3","0"
"5c929b08c4a75","162","1","0"
"5c929b08c4a7a","163","1","0"
"5c929b08c4a7f","163","2","0"
"5c929b08c4a85","163","2","0"
"5c929b08c4a90","164","2","0"
"5c929b08c4a94","164","3","1"
"5c929b08c4a9a","165","3","1"
"5c929b08c4aa4","165","2","0"
"5c929b08c4aa9","165","1","0"
"5c929b08c4aae","166","1","1"
"5c929b08c4ab3","166","3","0"
"5c929b08c4ab9","166","2","0"
"5c929b08c4abf","167","1","0"
"5c929b08c4ac4","167","1","0"
"5c929b08c4acd","167","2","0"
"5c929b08c4ad2","167","2","0"
"5c929b08c4ad9","169","3","0"
"5c929b08c4ae2","169","3","1"
"5c929b08c4ae8","169","1","1"
"5c929b08c4aed","169","1","0"
"5c929b08c4af2","171","2","0"
"5c929b08c4af7","171","2","0"
"5c929b08c4afc","171","2","0"
"5c929b08c4b08","172","1","1"
"5c929b08c4b0d","172","1","0"
"5c929b08c4b11","172","1","0"
"5c929b08c4b34","173","2","1"
"5c929b08c4b3a","173","1","0"
"5c929b08c4b3f","173","1","1"
"5c929b08c4b46","174","2","0"
"5c929b08c4b4b","174","2","0"
"5c929b08c4b50","174","3","1"
"5c929b08c4b55","174","2","1"
"5c929b08c4b5b","175","2","1"
"5c929b08c4b62","175","2","1"
"5c929b08c4b6d","175","3","0"
"5c929b08c4b74","175","3","1"
"5c929b08c4b7c","176","1","0"
"5c929b08c4b83","176","1","0"
"5c929b08c4b8a","176","3","1"
"5c929b08c4b91","176","3","1"
"5c929b08c4b9d","177","1","0"
"5c929b08c4ba1","177","2","0"
"5c929b08c4ba6","177","1","0"
"5c929b08c4bab","178","3","1"
"5c929b08c4bb0","178","1","0"
"5c929b08c4bb6","179","1","0"
"5c929b08c4bbb","179","2","0"
"5c929b08c4bc0","179","3","1"
"5c929b08c4bc5","181","3","1"
"5c929b08c4bca","181","1","0"
"5c929b08c4bcf","181","1","0"
"5c929b08c4bd4","181","3","0"
"5c929b08c4bd9","182","2","0"
"5c929b08c4bde","182","1","0"
"5c929b08c4be2","182","2","1"
"5c929b08c4bef","184","3","0"
"5c929b08c4bf3","184","2","0"
"5c929b08c4bfe","184","1","1"
"5c929b08c4c06","184","1","0"
"5c929b08c4c13","185","1","1"
"5c929b08c4c1b","186","2","1"
"5c929b08c4c22","186","3","0"
"5c929b08c4c2a","187","2","1"
"5c929b08c4c31","187","3","1"
"5c929b08c4c39","188","3","0"
"5c929b08c4c40","188","1","1"
"5c929b08c4c47","189","3","0"
"5c929b08c4c4e","189","2","1"
"5c929b08c4c56","190","1","0"
"5c929b08c4c61","190","1","0"
"5c929b08c4c66","190","1","0"
"5c929b08c4c70","190","1","0"
"5c929b08c4c75","191","2","0"
"5c929b08c4c7a","191","3","1"
"5c929b08c4c83","191","3","0"
"5c929b08c4c88","192","3","0"
"5c929b08c4c8c","192","3","1"
"5c929b08c4c91","193","3","1"
"5c929b08c4c95","194","3","0"
"5c929b08c4c9a","194","1","0"
"5c929b08c4ca5","195","3","0"
"5c929b08c4cab","195","3","1"
"5c929b08c4caf","195","2","1"
"5c929b08c4cb4","195","2","0"
"5c929b08c4cb9","196","2","1"
"5c929b08c4cc3","196","3","0"
"5c929b08c4cc8","196","3","1"
"5c929b08c4ccc","196","1","1"
"5c929b08c4cd4","197","1","1"
"5c929b08c4cda","197","1","1"
"5c929b08c4ce1","198","2","1"
"5c929b08c4ce7","198","1","1"
"5c929b08c4ced","198","1","0"
"5c929b08c4cf4","199","1","1"
"5c929b08c4cfb","199","2","1"
"5c929b08c4d05","199","3","1"
"5c929b08c4d0c","200","2","1"
"5c929b08c4d13","200","1","1"
"5c929b08c4d19","200","2","1"
"5c929b08c4d21","200","1","0"
"5c929b08c4d26","202","3","0"
"5c929b08c4d2a","202","1","1"
"5c929b08c4d2f","202","1","0"
"5c929b08c4d38","203","3","1"
"5c929b08c4d3d","203","3","1"
"5c929b08c4d41","203","2","0"
"5c929b08c4d47","204","2","1"
"5c929b08c4d4b","204","2","1"
"5c929b08c4d50","204","2","0"
"5c929b08c4d55","205","1","1"
"5c929b08c4d61","206","3","0"
"5c929b08c4d66","206","2","1"
"5c929b08c4d6f","207","1","1"
"5c929b08c4d74","207","3","1"
"5c929b08c4d79","207","3","1"
"5c929b08c4d7e","207","3","1"
"5c929b08c4d82","208","2","0"
"5c929b08c4d87","208","2","0"
"5c929b08c4d8e","211","1","0"
"5c929b08c4d93","211","3","1"
"5c929b08c4d98","211","3","0"
"5c929b08c4d9e","212","1","1"
"5c929b08c4da3","213","1","1"
"5c929b08c4da7","213","2","0"
"5c929b08c4dae","215","3","1"
"5c929b08c4db3","215","2","1"
"5c929b08c4db8","215","2","0"
"5c929b08c4dbd","216","3","1"
"5c929b08c4dc2","216","2","1"
"5c929b08c4dcc","219","3","1"
"5c929b08c4dd3","219","3","0"
"5c929b08c4dda","219","3","1"
"5c929b08c4de1","220","3","0"
"5c929b08c4df2","221","2","0"
"5c929b08c4df9","221","2","1"
"5c929b08c4e01","221","2","1"
"5c929b08c4e05","221","2","1"
"5c929b08c4e0a","222","2","0"
"5c929b08c4e0f","222","3","0"
"5c929b08c4e13","222","3","1"
"5c929b08c4e18","222","2","1"
"5c929b08c4e1d","223","2","1"
"5c929b08c4e21","223","1","1"
"5c929b08c4e26","223","2","1"
"5c929b08c4e35","223","2","1"
"5c929b08c4e3b","224","3","1"
"5c929b08c4e40","224","3","1"
"5c929b08c4e44","224","3","1"
"5c929b08c4e49","224","3","0"
"5c929b08c4e4e","225","3","1"
"5c929b08c4e53","225","1","1"
"5c929b08c4e5c","227","2","1"
"5c929b08c4e61","227","3","0"
"5c929b08c4e66","227","3","1"
"5c929b08c4e6b","227","3","0"
"5c929b08c4e70","229","3","1"
"5c929b08c4e75","229","3","1"
"5c929b08c4e7a","229","1","0"
"5c929b08c4e80","229","1","0"
"5c929b08c4e88","230","1","0"
"5c929b08c4e96","230","2","1"
"5c929b08c4e9b","230","2","0"
"5c929b08c4ea7","230","1","1"
"5c929b08c4eac","231","2","0"
"5c929b08c4eb7","231","1","0"
"5c929b08c4ebe","231","3","0"
"5c929b08c4ec4","231","2","0"
"5c929b08c4eca","232","2","0"
"5c929b08c4ed1","232","2","0"
"5c929b08c4ed8","234","3","0"
"5c929b08c4edd","236","2","0"
"5c929b08c4ee5","237","1","0"
"5c929b08c4eec","237","1","0"
"5c929b08c4ef4","238","2","0"
"5c929b08c4ef9","238","2","0"
"5c929b08c4f04","238","1","0"
"5c929b08c4f0d","238","2","1"
"5c929b08c4f17","239","3","1"
"5c929b08c4f1b","239","1","1"
"5c929b08c4f21","240","3","1"
"5c929b08c4f27","240","2","1"
"5c929b08c4f2f","240","2","0"
"5c929b08c4f39","240","3","0"
"5c929b08c4f3f","241","1","1"
"5c929b08c4f45","242","2","0"
"5c929b08c4f4c","242","1","0"
"5c929b08c4f53","243","2","0"
"5c929b08c4f5f","243","3","0"
"5c929b08c4f68","244","2","0"
"5c929b08c4f6e","244","1","1"
"5c929b08c4f72","244","3","0"
"5c929b08c4f78","244","3","0"
"5c929b08c4f7e","246","2","1"
"5c929b08c4f82","246","1","0"
"5c929b08c4f86","246","2","1"
"5c929b08c4f8a","246","1","1"
"5c929b08c4f8e","247","2","0"
"5c929b08c4f93","247","2","0"
"5c929b08c4f98","247","2","1"
"5c929b08c4f9c","247","1","0"
"5c929b08c4fa2","248","3","0"
"5c929b08c4fa6","248","3","0"
"5c929b08c4fab","249","2","0"
"5c929b08c4fb2","249","1","1"
"5c929b08c4fb9","249","2","1"
"5c929b08c4fbf","249","3","0"
"5c929b08c4fc5","250","1","0"
"5c929b08c4fcd","250","2","0"
"5c929b08c4fd6","250","3","1"
"5c929b08c4fdd","250","1","0"
"5c929b08c4fe5","251","3","0"
"5c929b08c4feb","252","3","1"
"5c929b08c4ff1","252","1","0"
"5c929b08c4ff8","255","3","1"
"5c929b08c4ffe","257","2","0"
"5c929b08c5002","257","2","0"
"5c929b08c5007","257","2","0"
"5c929b08c500c","258","2","1"
"5c929b08c5010","259","1","1"
"5c929b08c5015","259","3","0"
"5c929b08c501a","259","2","1"
"5c929b08c501f","259","1","1"
"5c929b08c5023","260","3","1"
"5c929b08c5027","260","3","1"
"5c929b08c5031","263","2","1"
"5c929b08c5037","263","1","0"
"5c929b08c503b","263","1","0"
"5c929b08c5040","263","1","1"
"5c929b08c5045","265","3","1"
"5c929b08c504c","265","1","1"
"5c929b08c5053","265","3","0"
"5c929b08c505a","265","1","0"
"5c929b08c505f","266","2","1"
"5c929b08c5065","268","1","1"
"5c929b08c506b","268","1","0"
"5c929b08c5076","270","1","0"
"5c929b08c507b","270","2","1"
"5c929b08c5085","270","1","1"
"5c929b08c508c","271","3","1"
"5c929b08c5091","272","2","0"
"5c929b08c5096","272","3","0"
"5c929b08c50a0","272","3","0"
"5c929b08c50a8","273","2","1"
"5c929b08c50b5","275","1","1"
"5c929b08c50bb","276","1","1"
"5c929b08c50c0","276","2","0"
"5c929b08c50c7","276","2","1"
"5c929b08c50cc","276","3","1"
"5c929b08c50d0","277","2","1"
"5c929b08c50d5","277","2","0"
"5c929b08c50da","278","1","1"
"5c929b08c50df","278","2","0"
"5c929b08c50e4","278","2","0"
"5c929b08c50f4","279","1","0"
"5c929b08c50fe","279","2","0"
"5c929b08c5106","280","1","1"
"5c929b08c510e","281","1","0"
"5c929b08c5114","281","2","0"
"5c929b08c5119","282","2","1"
"5c929b08c511f","282","2","0"
"5c929b08c5124","283","2","1"
"5c929b08c5129","283","1","1"
"5c929b08c5138","283","3","0"
"5c929b08c513c","283","3","0"
"5c929b08c5143","284","2","1"
"5c929b08c514b","286","3","0"
"5c929b08c5152","286","3","1"
"5c929b08c5159","286","1","0"
"5c929b08c515f","286","2","1"
"5c929b08c516b","287","2","0"
"5c929b08c5170","287","1","0"
"5c929b08c5176","288","2","1"
"5c929b08c5186","288","1","0"
"5c929b08c518c","288","2","1"
"5c929b08c5192","289","3","0"
"5c929b08c5196","289","3","1"
"5c929b08c519d","289","1","0"
"5c929b08c51a2","289","3","0"
"5c929b08c51a9","290","2","1"
"5c929b08c51af","290","1","0"
"5c929b08c51b3","290","1","0"
"5c929b08c51b8","291","3","0"
"5c929b08c51be","292","1","1"
"5c929b08c51c3","292","3","0"
"5c929b08c51c8","294","1","0"
"5c929b08c51cd","295","2","0"
"5c929b08c51d2","296","1","0"
"5c929b08c51d9","296","2","1"
"5c929b08c51e1","296","1","1"
"5c929b08c51e8","296","3","1"
"5c929b08c51ee","297","3","0"
"5c929b08c51f3","297","2","0"
"5c929b08c51f8","298","2","0"
"5c929b08c51fc","298","3","1"
"5c929b08c5201","298","3","1"
"5c929b08c5207","300","2","0"
"5c929b08c520c","302","1","1"
"5c929b08c5225","302","1","0"
"5c929b08c522b","302","1","1"
"5c929b08c5231","303","3","1"
"5c929b08c5235","303","1","1"
"5c929b08c523b","304","2","0"
"5c929b08c5240","305","1","0"
"5c929b08c5245","305","1","1"
"5c929b08c524b","305","1","1"
"5c929b08c5251","306","3","1"
"5c929b08c5256","306","1","0"
"5c929b08c525b","306","2","1"
"5c929b08c5262","306","1","0"
"5c929b08c5269","307","2","1"
"5c929b08c5270","309","2","0"
"5c929b08c5276","310","2","0"
"5c929b08c527b","310","2","0"
"5c929b08c5280","310","2","1"
"5c929b08c5287","311","2","1"
"5c929b08c5298","312","3","0"
"5c929b08c529e","312","3","0"
"5c929b08c52a4","313","3","0"
"5c929b08c52a9","314","2","1"
"5c929b08c52b1","315","2","0"
"5c929b08c52b8","317","3","1"
"5c929b08c52c0","318","1","1"
"5c929b08c52ce","318","2","0"
"5c929b08c52d5","318","3","1"
"5c929b08c52e2","318","1","1"
"5c929b08c52e8","319","2","1"
"5c929b08c52ee","319","1","0"
"5c929b08c52f4","319","2","0"
"5c929b08c52f8","319","3","1"
"5c929b08c52fe","320","3","0"
"5c929b08c5302","320","2","1"
"5c929b08c5307","321","3","0"
"5c929b08c530e","322","3","0"
"5c929b08c5316","322","1","0"
"5c929b08c531e","323","2","1"
"5c929b08c5325","323","3","1"
"5c929b08c532a","323","2","0"
"5c929b08c5334","323","3","0"
"5c929b08c533b","324","1","1"
"5c929b08c5343","324","3","1"
"5c929b08c534a","324","3","1"
"5c929b08c534f","324","2","1"
"5c929b08c5356","325","3","0"
"5c929b08c535d","325","2","1"
"5c929b08c5362","326","1","0"
"5c929b08c5367","326","1","1"
"5c929b08c536d","326","1","0"
"5c929b08c5372","327","2","1"
"5c929b08c5377","327","1","1"
"5c929b08c537c","327","3","1"
"5c929b08c5383","328","1","0"
"5c929b08c538c","329","1","1"
"5c929b08c5393","329","2","1"
"5c929b08c5399","330","3","1"
"5c929b08c539d","330","2","1"
"5c929b08c53a2","330","1","0"
"5c929b08c53a7","332","2","1"
"5c929b08c53ad","333","3","0"
"5c929b08c53b2","333","3","0"
"5c929b08c53b7","335","3","0"
"5c929b08c53bc","335","1","1"
"5c929b08c53c2","335","3","1"
"5c929b08c53ca","336","1","1"
"5c929b08c53de","336","3","1"
"5c929b08c53e3","337","1","0"
"5c929b08c53e8","337","2","0"
"5c929b08c53ee","337","3","0"
"5c929b08c53f3","337","2","1"
"5c929b08c53f9","338","3","1"
"5c929b08c5400","339","3","0"
"5c929b08c5406","340","2","1"
"5c929b08c540e","343","1","0"
"5c929b08c5415","345","2","1"
"5c929b08c541c","345","2","1"
"5c929b08c5420","345","2","0"
"5c929b08c5426","345","3","1"
"5c929b08c542d","346","2","0"
"5c929b08c5431","346","2","1"
"5c929b08c5436","347","2","1"
"5c929b08c543b","349","2","1"
"5c929b08c543f","349","3","0"
"5c929b08c544c","349","2","0"
"5c929b08c5451","349","2","0"
"5c929b08c545a","350","1","1"
"5c929b08c545f","350","1","0"
"5c929b08c546d","350","1","0"
"5c929b08c5474","350","2","0"
"5c929b08c547c","351","3","1"
"5c929b08c5483","351","3","1"
"5c929b08c548a","352","2","1"
"5c929b08c548f","352","3","0"
"5c929b08c5495","352","2","0"
"5c929b08c549a","352","3","0"
"5c929b08c549f","354","3","1"
"5c929b08c54a4","354","3","0"
"5c929b08c54a9","354","3","0"
"5c929b08c54af","355","1","1"
"5c929b08c54b6","355","1","1"
"5c929b08c54be","355","3","1"
"5c929b08c54c6","357","1","0"
"5c929b08c54cb","357","3","0"
"5c929b08c54e6","358","3","0"
"5c929b08c54ed","358","2","1"
"5c929b08c54f2","358","2","0"
"5c929b08c54f9","359","1","1"
"5c929b08c5503","359","3","1"
"5c929b08c5509","360","2","1"
"5c929b08c550e","360","3","1"
"5c929b08c5513","361","3","0"
"5c929b08c5518","361","2","0"
"5c929b08c551d","361","3","1"
"5c929b08c5528","361","1","0"
"5c929b08c5531","364","1","1"
"5c929b08c5538","364","2","1"
"5c929b08c5543","364","2","0"
"5c929b08c5548","364","2","1"
"5c929b08c5559","365","2","1"
"5c929b08c555f","365","2","1"
"5c929b08c5565","366","3","1"
"5c929b08c556a","366","3","0"
"5c929b08c556e","366","2","0"
"5c929b08c5573","366","2","0"
"5c929b08c5579","368","2","1"
"5c929b08c557f","370","1","0"
"5c929b08c5585","370","2","1"
"5c929b08c558a","370","1","1"
"5c929b08c5590","370","1","0"
"5c929b08c5596","371","3","1"
"5c929b08c559c","371","2","1"
"5c929b08c55a2","371","1","0"
"5c929b08c55a8","371","2","1"
"5c929b08c55b4","372","1","0"
"5c929b08c55bb","372","1","1"
"5c929b08c55c2","372","2","0"
"5c929b08c55ca","373","3","0"
"5c929b08c55d0","373","1","1"
"5c929b08c55d5","373","2","0"
"5c929b08c55d9","373","3","1"
"5c929b08c55df","374","3","0"
"5c929b08c55e3","375","3","1"
"5c929b08c55e9","375","1","1"
"5c929b08c55ee","375","2","1"
"5c929b08c55fb","375","3","1"
"5c929b08c5600","376","3","0"
"5c929b08c5605","376","1","0"
"5c929b08c560a","376","3","1"
"5c929b08c560f","376","1","1"
"5c929b08c5615","377","1","0"
"5c929b08c561a","377","2","0"
"5c929b08c561f","378","1","1"
"5c929b08c5624","378","3","0"
"5c929b08c5629","378","2","1"
"5c929b08c562e","378","1","0"
"5c929b08c5633","380","2","1"
"5c929b08c5638","380","1","0"
"5c929b08c563d","380","2","0"
"5c929b08c5642","381","2","0"
"5c929b08c5647","381","3","1"
"5c929b08c564c","382","1","0"
"5c929b08c5652","382","2","0"
"5c929b08c5656","382","1","0"
"5c929b08c5661","382","2","1"
"5c929b08c5667","383","3","1"
"5c929b08c5670","385","3","0"
"5c929b08c5675","385","3","1"
"5c929b08c5679","385","1","0"
"5c929b08c5684","387","2","1"
